Model,Price,Spec
"realme X3 (Glacier Blue, 128 GB)","₹19,990",8 GB RAM | 128 GB ROM
"realme 8s 5G (Universe Blue, 128 GB)","₹19,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme 8 (Cyber Silver, 128 GB)","₹14,499",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 8 (Cyber Silver, 128 GB)","₹13,499",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 8 (Punk Black, 128 GB)","₹13,499",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme Narzo 50A Prime (Flash Blue, 128 GB)","₹12,390",4 GB RAM | 128 GB ROM
"realme C15 (Power Silver, 32 GB)","₹11,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme 2 Pro (Black Sea, 128 GB)","₹17,990",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme C11 (Rich Grey, 32 GB)","₹8,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme C35 (Glowing Green, 128 GB)","₹12,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme X3 SuperZoom (Arctic White, 256 GB)","₹24,990",12 GB RAM | 256 GB ROM
"realme 8i (Space Black, 64 GB)","₹14,990",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme X3 SuperZoom (Glacier Blue, 256 GB)","₹24,990",12 GB RAM | 256 GB ROM
"realme X3 SuperZoom (Arctic White, 256 GB)","₹23,990",8 GB RAM | 256 GB ROM
"realme X3 SuperZoom (Glacier Blue, 256 GB)","₹23,990",8 GB RAM | 256 GB ROM
"realme GT NEO 3 (150W) (Nitro Blue, 256 GB)","₹42,999",12 GB RAM | 256 GB ROM
"realme C25 (Watery Grey, 128 GB)","₹10,999",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme GT Neo 3T (Drifting White, 128 GB)","₹36,999",8 GB RAM | 128 GB ROM
"realme 3 (Radiant Blue, 64 GB)","₹10,499",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 3 (Dynamic Black, 64 GB)","₹9,499",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 6 (Comet Blue, 128 GB)","₹15,999",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme GT 2 Pro (Steel Black, 256 GB)","₹57,999",12 GB RAM | 256 GB ROM
"realme GT 2 Pro (Paper White, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM
"realme 3 (Radiant Blue, 32 GB)","₹8,499",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme 3 (Dynamic Black, 32 GB)","₹8,499",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme 7 (Mist White, 128 GB)","₹20,999",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB
